"Location"	"Date"	"VW_30cm"
"CAF201"	"03/07/2008"	"C"
"CAF201"	"03/08/2008"	"C"
"CAF201"	"03/09/2008"	"C"
"CAF201"	"03/10/2008"	"C"
"CAF201"	"03/11/2008"	"C"
"CAF201"	"03/12/2008"	"C"
"CAF201"	"03/13/2008"	"C"
"CAF201"	"03/14/2008"	"C"
"CAF201"	"03/15/2008"	"C"
"CAF201"	"03/16/2008"	"C"
"CAF201"	"03/17/2008"	"C"
"CAF201"	"03/18/2008"	"C"
"CAF201"	"03/19/2008"	"C"
"CAF201"	"03/20/2008"	"C"
"CAF201"	"03/21/2008"	"C"
"CAF201"	"03/22/2008"	"C"
"CAF201"	"03/23/2008"	"C"
"CAF201"	"03/24/2008"	"C"
"CAF201"	"03/25/2008"	"C"
"CAF201"	"03/26/2008"	"C"
"CAF201"	"03/27/2008"	"C"
"CAF201"	"03/28/2008"	"C"
"CAF201"	"03/29/2008"	"C"
"CAF201"	"03/30/2008"	"C"
"CAF201"	"03/31/2008"	"C"
"CAF201"	"04/01/2008"	"C"
"CAF201"	"04/02/2008"	"C"
"CAF201"	"04/03/2008"	"C"
"CAF201"	"04/04/2008"	"C"
"CAF201"	"04/05/2008"	"C"
"CAF201"	"04/06/2008"	"C"
"CAF201"	"04/07/2008"	"C"
"CAF201"	"04/08/2008"	"C"
"CAF201"	"04/09/2008"	"C"
"CAF201"	"04/10/2008"	"C"
"CAF201"	"04/11/2008"	"C"
"CAF201"	"04/12/2008"	"C"
"CAF201"	"04/13/2008"	"C"
"CAF201"	"04/14/2008"	"C"
"CAF201"	"04/15/2008"	"C"
"CAF201"	"04/16/2008"	"C"
"CAF201"	"04/17/2008"	"C"
"CAF201"	"04/18/2008"	"C"
"CAF201"	"04/19/2008"	"C"
"CAF201"	"04/20/2008"	"C"
"CAF201"	"04/21/2008"	"C"
"CAF201"	"04/22/2008"	"C"
"CAF201"	"04/23/2008"	"C"
"CAF201"	"04/24/2008"	"C"
"CAF201"	"04/25/2008"	"C"
"CAF201"	"04/26/2008"	"C"
"CAF201"	"04/27/2008"	"C"
"CAF201"	"04/28/2008"	"C"
"CAF201"	"04/29/2008"	"C"
"CAF201"	"04/30/2008"	"C"
"CAF201"	"05/01/2008"	"C"
"CAF201"	"05/02/2008"	"C"
"CAF201"	"05/03/2008"	"C"
"CAF201"	"05/04/2008"	"C"
"CAF201"	"05/05/2008"	"C"
"CAF201"	"05/06/2008"	"C"
"CAF201"	"05/14/2008"	"C"
"CAF316"	"06/27/2012"	"C"
"CAF316"	"02/26/2013"	"C"
"CAF316"	"02/27/2013"	"C"
"CAF316"	"02/28/2013"	"C"
"CAF316"	"03/01/2013"	"C"
"CAF316"	"03/06/2013"	"C"
"CAF316"	"03/07/2013"	"C"
