Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
britishThermalUnitAt59 °F,British Thermal Unit At 59 °F,Energy,Btu_59,http://unitsofmeasure.org/ucum.html#para-43
britishThermalUnitAt60 °F,British Thermal Unit At 60 °F,Energy,Btu_60,http://unitsofmeasure.org/ucum.html#para-43
calorie,Calorie,Energy,cal,http://qudt.org/vocab/unit#CalorieThermochemical; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"calorie,InternationalTable","Calorie, International Table",Energy,cal_IT,http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
"calorie,Mean","Calorie, Mean",Energy,cal_m,http://unitsofmeasure.org/ucum.html#para-43
"calorie,Thermochemical","Calorie, Thermochemical",Energy,cal,http://qudt.org/vocab/unit#CalorieThermochemical; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilowattHour,Kilowatt Hour,Energy,kW-hr,http://qudt.org/vocab/unit#Kilowatthour
calorieAt20 °C,Calorie At 20 °C,Energy,cal_20,http://unitsofmeasure.org/ucum.html#para-43
electronvolt,ElectronVolt,Energy,eV,http://qudt.org/vocab/unit#ElectronVolt
erg,Erg,Energy,erg,http://qudt.org/vocab/unit#Erg; http://unitsofmeasure.org/ucum.html#para-33
footPoundal,Foot Poundal,Energy,ft-pdl,http://qudt.org/vocab/unit#FootPoundal
footPoundForce,Foot Pound Force,Energy,ft-lbf,http://qudt.org/vocab/unit#FootPoundForce
gigaelectronvolt,GigaElectronVolt,Energy,GeV,http://qudt.org/vocab/unit#GigaElectronVolt
gigajoule,Gigajoule,Energy,GJ,
hartree,Hartree,Energy,E_h,http://qudt.org/vocab/unit#Hartree
inchPoundForce,Inch Pound Force,Energy,in-lbf,http://qudt.org/vocab/unit#InchPoundForce
joule,Joule,Energy,J,http://qudt.org/vocab/unit#Joule; http://unitsofmeasure.org/ucum.html#para-30http://www.unidata.ucar.edu/software/udunits/; 
kilocalorie,Kilocalorie,Energy,kcal,http://qudt.org/vocab/unit#Kilocalorie
megaelectronvolt,MegaElectronVolt,Energy,MeV,http://qudt.org/vocab/unit#MegaElectronVolt
megajoule,Megajoule,Energy,MJ,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megawattHour,Megawatt Hour,Energy,MW-hr,
nutritionalCalorie,Nutritional Calorie,Energy,Cal,http://qudt.org/vocab/unit#CalorieNutritional; http://unitsofmeasure.org/ucum.html#para-43
planckEnergy,Planck Energy,Energy,,http://qudt.org/vocab/unit#PlanckEnergy
quad,Quad,Energy,quad,http://qudt.org/vocab/unit#Quad
thermEc,Therm EC,Energy,therm (EC),http://qudt.org/vocab/unit#ThermEEC
thermUs,Therm US,Energy,therm (US),http://qudt.org/vocab/unit#ThermUS; http://www.unidata.ucar.edu/software/udunits/
tonOfOilEquivalent,Ton of Oil Equivalent,Energy,toe,http://qudt.org/vocab/unit#TonOfOilEquivalent
tonTnt,Ton TNT,Energy,t/lbf,http://qudt.org/vocab/unit#TonEnergy; http://www.unidata.ucar.edu/software/udunits/
wattHour,Watt Hour,Energy,W-hr,http://qudt.org/vocab/unit#Watthour; http://www.unidata.ucar.edu/software/udunits/
planckEnergyDensity,Planck Energy Density,Energy density,,
joulePerCubicMeter,Joule per Cubic Meter,Energy density,J/m^3,http://qudt.org/vocab/unit#JoulePerCubicMeter
ergPerCubicCentimeter,Erg per Cubic Centimeter,Energy density,,http://qudt.org/vocab/unit#ErgPerCubicCentimeter
footPoundForcePerSquareMeter,Foot Pound Force per Square Meter,Energy per area,ft-lbf/m^2,http://qudt.org/vocab/unit#FootPoundForcePerSquareMeter
joulePerSquareCentimeter,Joule per Square Centimeter,Energy per area,J/cm^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
joulePerSquareMeter,Joule per Square Meter,Energy per area,J/m^2,http://qudt.org/vocab/unit#JoulePerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilocaloriePerSquareCentimeter,Kilocalorie per Square Centimeter,Energy per area,kcal/cm^2,http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeter
langley,Langley,Energy per area,Ly,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
megajoulePerSquareMeter,Megajoule per Square Meter,Energy per area,MJ/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
btuPerSquareFoot,Btu per Square Foot,Energy per area,Btu/ft^2,http://qudt.org/vocab/unit#BtuPerSquareFoot
footPoundForcePerSquareFoot,Foot Pound Force per Square Foot,Energy per area,ft-lbf/ft^2,http://qudt.org/vocab/unit#FootPoundForcePerSquareFoot
voltPerSquareMeter,Volt per Square Meter,Energy per area electrical charge,V m^-2,http://qudt.org/vocab/unit#VoltPerSquareMeter
joulePerSquareTesla,Joule per Square Tesla,Energy per square magnetic flux density,J T^-2,http://qudt.org/vocab/unit#JoulePerSquareTesla
rhe,Rhe,Fluidity,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramPerPascalPerSecondPerMeterSquared,Kilogram per Pascal per Second per Meter Squared,Fluid permeance,kg/(Pa.s.m^2),
perm0C,Perm 0C,Fluid permeance,Perm 0C,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
perm23C,Perm 23C,Fluid permeance,Perm 23C,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
peripheralVascularResistanceUnit,Peripheral Vascular Resistance Unit,Fluid resistance,PRU,http://unitsofmeasure.org/ucum.html#para-44
woodUnit,Wood Unit,Fluid resistance,wood'U,http://unitsofmeasure.org/ucum.html#para-44
inVivoFluorescenceUnit,In Vivo Fluorescence Unit,Fluorescence,IVFU,http://qwwebservices.usgs.gov/service-domains.html
relativeFluorescenceUnit,Relative Fluorescence Unit,Fluorescence,RFU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gramForce,Gram Force,Force,gf,http://unitsofmeasure.org/ucum.html#para-32; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
dyne,Dyne,Force,dyn,http://qudt.org/vocab/unit#Dyne; http://unitsofmeasure.org/ucum.html#para-33
kilogramForce,Kilogram Force,Force,kgf,http://qudt.org/vocab/unit#KilogramForce; http://www.unidata.ucar.edu/software/udunits/
kilopond,Kilopond,Force,kp,http://qudt.org/vocab/unit#KiloPond
kip,Kip,Force,kip,http://qudt.org/vocab/unit#Kip; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
newton,Newton,Force,N,http://qudt.org/vocab/unit#Newton; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
ounceForce,Ounce Force,Force,ozf,http://qudt.org/vocab/unit#OunceForce; http://www.unidata.ucar.edu/software/udunits/
planckForce,Planck Force,Force,,http://qudt.org/vocab/unit#PlanckForce
pond,Pond,Force,,http://www.unidata.ucar.edu/software/udunits/
poundal,Poundal,Force,pdl,http://qudt.org/vocab/unit#Poundal; http://www.unidata.ucar.edu/software/udunits/
poundForce,Pound Force,Force,lbf_av,http://qudt.org/vocab/unit#PoundForce; http://unitsofmeasure.org/ucum.html#para-32; http://www.unidata.ucar.edu/software/udunits/
tonForce,Ton Force,Force,,http://www.unidata.ucar.edu/software/udunits/
poundForcePerFoot,Pound Force per Foot,Force per length,lbf/ft,http://qudt.org/vocab/unit#PoundForcePerFoot
newtonPerMeter,Newton per Meter,Force per length,N/m,http://qudt.org/vocab/unit#NewtonPerMeter
poundForcePerInch,Pound Force per Inch,Force per length,lbf/in,http://qudt.org/vocab/unit#PoundForcePerInch
baud,Baud,Frequency,Bd,http://unitsofmeasure.org/ucum.html#para-48; http://www.unidata.ucar.edu/software/udunits/
countPerMinute,Count per Minute,Frequency,#/min,
countPerSecond,Count per Second,Frequency,#/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPerYear,Count per Year,Frequency,#/yr,http://qudt.org/vocab/unit#NumberPerYear
gigahertz,Gigahertz,Frequency,GHz,http://qudt.org/vocab/unit#GigaHertz
hertz,Hertz,Frequency,Hz,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-30
inverseSecond,Inverse Second,Frequency,s^-1,http://qudt.org/vocab/unit#PerSecond
kilohertz,Kilohertz,Frequency,KHz,http://qudt.org/vocab/unit#KiloHertz
megahertz,Megahertz,Frequency,MHz,http://qudt.org/vocab/unit#MegaHertz
perDay,Per Day,Frequency,1/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckFrequency,Planck Frequency,Frequency,,http://qudt.org/vocab/unit#PlanckFrequency
cubicMeterPerKilogramSecondSquared,Cubic Meter per Kilogram Second Squared,Gravitational attraction,m^3 kg^-1 s^-2,http://qudt.org/vocab/unit#CubicMeterPerKilogramSecondSquared
btuPerDegreeFahrenheit,Btu per Degree Fahrenheit,Heat capacity,Btu/degF,http://qudt.org/vocab/unit#BtuPerDegreeFahrenheit
btuPerDegreeRankine,Btu per Degree Rankine,Heat capacity,Btu/degR,http://qudt.org/vocab/unit#BtuPerDegreeRankine
electronvoltPerKelvin,ElectronVolt per Kelvin,Heat capacity,eV K^-1,http://qudt.org/vocab/unit#ElectronVoltPerKelvin
joulePerKelvin,Joule per Kelvin,Heat capacity,J/K,http://qudt.org/vocab/unit#JoulePerKelvin
btuPerSquareFootHourDegreeFahrenheit,Btu per Square Foot Hour Degree Fahrenheit,Heat transfer coefficient,Btu/(hr-ft^2-degF),http://qudt.org/vocab/unit#BtuPerSquareFootHourDegreeFahrenheit
btuPerSquareFootSecondDegreeFahrenheit,Btu per Square Foot Second Degree Fahrenheit,Heat transfer coefficient,Btu/(ft^2-s-degF),http://qudt.org/vocab/unit#BtuPerSquareFootSecondDegreeFahrenheit
wattPerSquareMeterKelvin,Watt per Square Meter Kelvin,Heat transfer coefficient,W/(m^2-K),http://qudt.org/vocab/unit#WattPerSquareMeterKelvin
cubicCoulombMeterPerSquareJoule,Cubic Coulomb Meter per Square Joule,Hyperpolarizability,C^3 m^3 J^-2,http://qudt.org/vocab/unit#CubicCoulombMeterPerSquareJoule
lumenPerSquareFoot,Lumen per Square Foot,Illuminance,lm/ft^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
footcandle,Footcandle,Illuminance,fc,http://qudt.org/vocab/unit#FootCandle; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
lux,Lux,Illuminance,lx,http://qudt.org/vocab/unit#Lux; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
phot,Phot,Illuminance,ph,http://qudt.org/vocab/unit#Phot; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
microhenry,Microhenry,Inductance,microH,http://qudt.org/vocab/unit#MicroHenry
millihenry,Millihenry,Inductance,milliH,http://qudt.org/vocab/unit#MilliHenry
stathenry,Stathenry,Inductance,statH,http://qudt.org/vocab/unit#Stathenry; http://www.unidata.ucar.edu/software/udunits/
abhenry,Abhenry,Inductance,abH,http://qudt.org/vocab/unit#Abhenry
henry,Henry,Inductance,H,http://qudt.org/vocab/unit#Henry; http://unitsofmeasure.org/ucum.html#para-30
perMole,Per Mole,Inverse count,mol^-1,http://qudt.org/vocab/unit#PerMole
unitPerCentimeter,Unit per Centimeter,Inverse length,units/cm,http://qwwebservices.usgs.gov/service-domains.html
reciprocalMeter,Reciprocal Meter,Inverse length,m^-1,
absorbanceUnitPerCentimeter,Absorbance Unit per Centimeter,Inverse length,AU/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
diopter,Diopter,Inverse length,diop,http://qudt.org/vocab/unit#Diopter
kayser,Kayser,Inverse length,Ky,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://unitsofmeasure.org/ucum.html#para-33
mesh,Mesh,Inverse length,mesh_i,http://unitsofmeasure.org/ucum.html#para-44
perMeter,Per Meter,Inverse length,/m,http://qudt.org/vocab/unit#PerMeter; http://environment.data.gov.au/def/unit/Reciprocal_Meter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perMeterKelvin,Per Meter Kelvin,Inverse length temperature,m^-1 K^-1,http://qudt.org/vocab/unit#PerMeterKelvin
hertzPerVolt,Hertz per Volt,Inverse magnetic flux,Hz V^-1,http://qudt.org/vocab/unit#HertzPerVolt
meterPerFarad,Meter per Farad,Inverse permittivity,,http://qudt.org/vocab/unit#MeterPerFarad
perSquareGigaElectronvolt,Per Square Giga ElectronVolt,Inverse square energy,GeV^-2,http://qudt.org/vocab/unit#PerSquareGigaElectronVolt
hertzPerKelvin,Hertz per Kelvin,Inverse time temperature,Hz K^-1,http://qudt.org/vocab/unit#HertzPerKelvin
megahertzPerKelvin,Megahertz per Kelvin,Inverse time temperature,MHz K^-1,http://qudt.org/vocab/unit#MegaHertzPerKelvin
perLiter,Per Liter,Inverse volume,1/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perCubicMeter,Per Cubic Meter,Inverse volume,/m^3,http://qudt.org/vocab/unit#PerCubicMeter
meterPerSecondCubed,Meter per Second Cubed,Jerk,m/s^3,
foot,Foot,Length,ft_i,http://qudt.org/vocab/unit#Foot; http://unitsofmeasure.org/ucum.html#para-34; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
angstrom,Angstrom,Length,Ao,http://qudt.org/vocab/unit#Angstrom
arpentlin,Arpentlin,Length,,http://www.unidata.ucar.edu/software/udunits/
astronomicalUnit,Astronomical Unit,Length,AU,http://qudt.org/vocab/unit#AstronomicalUnit; http://unitsofmeasure.org/ucum.html#para-31
barleycorn,Barleycorn,Length,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bigPoint,Big Point,Length,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centimeter,Centimeter,Length,cm,http://qudt.org/vocab/unit#Centimeter
charrièreFrench,Charrière French,Length,Ch,http://unitsofmeasure.org/ucum.html#para-44
cicero,Cicero,Length,cicero,http://unitsofmeasure.org/ucum.html#para-42
decimeter,Decimeter,Length,decimeter,http://qudt.org/vocab/unit#Decimeter
didot,Didot,Length,didot,http://unitsofmeasure.org/ucum.html#para-42
fathom,Fathom,Length,fth_i,http://qudt.org/vocab/unit#Fathom; http://unitsofmeasure.org/ucum.html#para-34
"fathom,British","Fathom, British",Length,fth_br,http://unitsofmeasure.org/ucum.html#para-36
"fathom,UsSurvey","Fathom, US Survey",Length,fth_us,http://unitsofmeasure.org/ucum.html#para-35
femtometer,Femtometer,Length,fm,http://qudt.org/vocab/unit#Femtometer
fermi,Fermi,Length,fm,http://qudt.org/vocab/unit#Fermi
"foot,British","Foot, British",Length,ft_br,http://unitsofmeasure.org/ucum.html#para-36
"foot,UsSurvey","Foot, US Survey ",Length,ft_us,http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#FootUSSurvey; http://www.unidata.ucar.edu/software/udunits/
"furlong,UsSurvey","Furlong, US Survey",Length,fur_us,http://qudt.org/vocab/unit#Furlong; http://unitsofmeasure.org/ucum.html#para-35
"gunter'SChain,British","Gunter's Chain, British",Length,ch_br,http://unitsofmeasure.org/ucum.html#para-36
"gunter'SChain,UsSurveyor'SChain","Gunter's Chain, US Surveyor's Chain",Length,ch_us,http://unitsofmeasure.org/ucum.html#para-35; http://qudt.org/vocab/unit#Chain
hand,Hand,Length,hd_i,http://unitsofmeasure.org/ucum.html#para-34
inch,Inch,Length,in_i,http://qudt.org/vocab/unit#Inch; http://unitsofmeasure.org/ucum.html#para-34; http://qwwebservices.usgs.gov/service-domains.html
"inch,British","Inch, British",Length,in_br,http://unitsofmeasure.org/ucum.html#para-36
"inch,UsSurvey","Inch, US Survey",Length,in_us,http://unitsofmeasure.org/ucum.html#para-35
kilometer,Kilometer,Length,km,http://qudt.org/vocab/unit#Kilometer
lightYear,Light Year,Length,ly,http://qudt.org/vocab/unit#LightYear; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-32
ligne,Ligne,Length,ligne,http://unitsofmeasure.org/ucum.html#para-42
line,Line,Length,lne,http://unitsofmeasure.org/ucum.html#para-42
"linkForGunter'SChain,British","Link for Gunter's Chain, British",Length,lk_br,http://unitsofmeasure.org/ucum.html#para-36
"linkForGunter'SChain,UsSurvey","Link for Gunter's Chain, US Survey",Length,lk_us,http://unitsofmeasure.org/ucum.html#para-35
linkForRamden'SChain,Link for Ramden's Chain,Length,rlk_us,http://unitsofmeasure.org/ucum.html#para-35
meter,Meter,Length,m,http://qudt.org/vocab/unit#Meter; mhttp://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html
microinch,Microinch,Length,in^-6,http://qudt.org/vocab/unit#MicroInch
micrometer,Micrometer,Length,µm,http://qudt.org/vocab/unit#Micrometer
micron,Micron,Length,um,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
mil,Mil,Length,mil_i,http://unitsofmeasure.org/ucum.html#para-34; http://qudt.org/vocab/unit#MilLength; http://www.unidata.ucar.edu/software/udunits/
"mil,UsSurvey","Mil, US Survey",Length,mil_us,http://unitsofmeasure.org/ucum.html#para-35
mile,Mile,Length,mi_i,http://qudt.org/vocab/unit#MileInternational; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"mile,British","Mile, British",Length,mi_br,http://unitsofmeasure.org/ucum.html#para-36
"mile,UsSurvey","Mile, US Survey ",Length,mi_us,http://qudt.org/vocab/unit#MileUSStatute; http://unitsofmeasure.org/ucum.html#para-35
millimeter,Millimeter,Length,mm,http://qudt.org/vocab/unit#Millimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanometer,Nanometer,Length,nm,
nauticalMile,Nautical Mile,Length,nmi_i,http://qudt.org/vocab/unit#NauticalMile; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"nauticalMile,British","Nautical Mile, British",Length,nmi_br,http://unitsofmeasure.org/ucum.html#para-36
pace,Pace,Length,pc_br,http://unitsofmeasure.org/ucum.html#para-36
parsec,Parsec,Length,pc,http://qudt.org/vocab/unit#Parsec; http://unitsofmeasure.org/ucum.html#para-31; http://www.unidata.ucar.edu/software/udunits/
perch,Perch,Length,,http://www.unidata.ucar.edu/software/udunits/
pica,Pica,Length,pca,http://qudt.org/vocab/unit#Pica; http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
pied,Pied,Length,pied,http://unitsofmeasure.org/ucum.html#para-42
planckLength,Planck Length,Length,,http://qudt.org/vocab/unit#PlanckLength
point,Point,Length,pnt,http://qudt.org/vocab/unit#Point; http://unitsofmeasure.org/ucum.html#para-42
pole,Pole,Length,,http://www.unidata.ucar.edu/software/udunits/
pouce,Pouce,Length,pouce,http://unitsofmeasure.org/ucum.html#para-42
printersPica,Printers Pica,Length,pca_pr,http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
printersPoint,Printers Point,Length,pnt_pr,http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/
ramden'SChain,Ramden's Chain,Length,rch_us,http://unitsofmeasure.org/ucum.html#para-35
rod,Rod,Length,rd,http://qudt.org/vocab/unit#Rod; http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/
"rod,British","Rod, British",Length,rd_br,http://unitsofmeasure.org/ucum.html#para-36
smoot,Smoot,Length,smoot,http://unitsofmeasure.org/ucum.html#para-47
yard,Yard,Length,yd_i,http://qudt.org/vocab/unit#Yard; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"yard,British","Yard, British",Length,yd_br,http://unitsofmeasure.org/ucum.html#para-36
"yard,UsSurvey","Yard, US Survey ",Length,yd_us,http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/
megaelectronvoltFemtometer,Megaelectronvolt Femtometer,Length energy,MeV fm,http://qudt.org/vocab/unit#MegaElectronVoltFemtometer
btuFoot,Btu Foot,Length energy,Btu-ft,http://qudt.org/vocab/unit#BtuFoot
btuInch,Btu Inch,Length energy,Btu-in,http://qudt.org/vocab/unit#BtuInch
meterPerMeter,Meter per Meter,Length fraction,-,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
percentSlope,Percent Slope,Length fraction,%slope,http://unitsofmeasure.org/ucum.html#para-44
microgramMeterPerLiter,Microgram Meter per Liter,Length integrated mass concentration,µg m/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterKilogram,Meter Kilogram,Length mass,m-kg,http://qudt.org/vocab/unit#MeterKilogram
jouleMeterPerMole,Joule Meter per Mole,Length molar energy,J m mol^-1,http://qudt.org/vocab/unit#JouleMeterPerMole
perTeslaMeter,Per Tesla Meter,Length per magnetic flux,m^-1 T^-1,http://qudt.org/vocab/unit#PerTeslaMeter
degreeCelsiusCentimeter,Degree Celsius Centimeter,Length temperature,cm-degC,http://qudt.org/vocab/unit#DegreeCelsiusCentimeter
meterKelvin,Meter Kelvin,Length temperature,m K,http://qudt.org/vocab/unit#MeterKelvin
centimeterSecondDegreeCelsius,Centimeter Second Degree Celsius,Length temperature time,cm-s-degC,http://qudt.org/vocab/unit#CentimeterSecondDegreeCelsius
decibel,Decibel,Level,dB,http://qudt.org/vocab/unit#Decibel
decibelCarrierUnit,Decibel Carrier Unit,Level,dBc,http://qudt.org/vocab/unit#DecibelCarrier
neper,Neper,Level,Np,http://unitsofmeasure.org/ucum.html#para-46
decibelMiliwatt,Decibel miliWatt,Level,dBm,http://qudt.org/vocab/unit#DecibelReferredToOneMilliwatt
bel,Bel,Level,B,http://unitsofmeasure.org/ucum.html#para-46
bel10Nanovolt,Bel 10 Nanovolt,Level,B10.nV,http://unitsofmeasure.org/ucum.html#para-46
belKilowatt,Bel Kilowatt,Level,BkW,http://unitsofmeasure.org/ucum.html#para-46
belMicrovolt,Bel Microvolt,Level,BuV,http://unitsofmeasure.org/ucum.html#para-46
belMillivolt,Bel Millivolt,Level,BmV,http://unitsofmeasure.org/ucum.html#para-46
belSoundPressure,Bel Sound Pressure,Level,BSPL,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
belVolt,Bel Volt,Level,BV,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
belWatt,Bel Watt,Level,BW,http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bm,Bm,Level,,http://www.unidata.ucar.edu/software/udunits/
bv,Bv,Level,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bz,Bz,Level,,http://www.unidata.ucar.edu/software/udunits/
knotPerSecond,Knot per Second,Linear acceleration,kt/s,http://qudt.org/vocab/unit#KnotPerSecond
centimeterPerSecondSquared,Centimeter per Second Squared,Linear acceleration,,http://qudt.org/vocab/unit#CentimeterPerSecondSquared
footPerSecondSquared,Foot per Second Squared,Linear acceleration,ft/s^2,http://qudt.org/vocab/unit#FootPerSecondSquared
gal,Gal,Linear acceleration,Gal,http://qudt.org/vocab/unit#Gal; http://unitsofmeasure.org/ucum.html#para-33
gravity,Gravity,Linear acceleration,g,http://qudt.org/vocab/unit#Gravity; http://unitsofmeasure.org/ucum.html#para-32; http://www.unidata.ucar.edu/software/udunits/
inchPerSecondSquared,Inch per Second Squared,Linear acceleration,in/s^2,http://qudt.org/vocab/unit#InchPerSecondSquared
meterPerSecondSquared,Meter per Second Squared,Linear acceleration,m/s^2,http://qudt.org/vocab/unit#MeterPerSecondSquared
microgravity,Microgravity,Linear acceleration,microG,http://qudt.org/vocab/unit#Microgravity
milligravity,Milligravity,Linear acceleration,mG,http://qudt.org/vocab/unit#Milligravity
kiloelectronvoltPerMicrometer,KiloelectronVolt per Micrometer,Linear energy transfer,keV/microM,http://qudt.org/vocab/unit#KiloElectronVoltPerMicrometer
megaelectronvoltPerCentimeter,Megaelectronvolt per Centimeter,Linear energy transfer,MeV/cm,http://qudt.org/vocab/unit#MegaElectronVoltPerCentimeter
kilogramMeterPerSecond,Kilogram Meter per Second,Linear momentum,kg-m/s,http://qudt.org/vocab/unit#KilogramMeterPerSecond
newtonSeconds,Newton Seconds,Linear momentum,N-s,
planckMomentum,Planck Momentum,Linear momentum,,http://qudt.org/vocab/unit#PlanckMomentum
meterPerKelvin,Meter per Kelvin,Linear thermal expansion,,http://qudt.org/vocab/unit#MeterPerKelvin
inchPerDay,Inch per Day,Linear velocity,in/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
inchPerHour,Inch per Hour,Linear velocity,in/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchPerSecond,Inch per Second,Linear velocity,,http://qudt.org/vocab/unit#InchPerSecond
inchPerWeek,Inch per Week,Linear velocity,in/week,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerHour,Kilometer per Hour,Linear velocity,km/hr,http://qudt.org/vocab/unit#KilometerPerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilometerPerSecond,Kilometer per Second,Linear velocity,km/s,http://qudt.org/vocab/unit#KilometerPerSecond
knot,Knot,Linear velocity,kn_i,http://qudt.org/vocab/unit#Knot; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/
"knot,British","Knot, British",Linear velocity,kn_br,http://unitsofmeasure.org/ucum.html#para-36
meterPerDay,Meter per Day,Linear velocity,m/d,http://environment.data.gov.au/def/unit/MeterPerDay
meterPerHour,Meter per Hour,Linear velocity,m/h,http://qudt.org/vocab/unit#MeterPerHour
meterPerMinute,Meter per Minute,Linear velocity,m/min,http://qudt.org/vocab/unit#MeterPerMinute
meterPerSecond,Meter per Second,Linear velocity,m/s,http://qudt.org/vocab/unit#MeterPerSecond; http://qwwebservices.usgs.gov/service-domains.html
milePerHour,Mile per Hour,Linear velocity,mph,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qudt.org/vocab/unit#MilePerHour
